Input,Target
it's inside the complex.,you're just reading me.
you're just reading me.,no.  no!  it ain't you.  they're inside.  inside the perimeter. they're in here.
"sounds like you, hicks.","the embryo, the second form, hosts in the victim's body for several hours.  gestating.  then it...  ...then it...emerges.  moults. grows rapidly --"
looks like it stung him.,"hey...hey!  look, crowe and dietrich aren't dead, man."
you can't help them.  right now they're being cocooned just like the others.,"oh, god.  jesus.  this ain't happening."
"man, we're not going to make it seventeen hours!  those things are going to come in here, just like they did before, man... they're going to come in here and get us, man, long before...",she survived longer than that with no weapons and no training.
this service tunnel is how they're moving back and forth.,"yeah, right, it runs from the processing station right into the sublevel here."
thanks.,"uh, what's next?"
"we need the other drop-ship.  the on one the sulaco.  we have to bring it down on remote, somehow.",how?  the transmitter was on the apc.  it's wasted.
how?  the transmitter was on the apc.  it's wasted.,i don't care how!  think of a way.  think of something.
i don't care how!  think of a way.  think of something.,think of what?  we're fucked.
think of what?  we're fucked.,what about the colony transmitter? that up-link tower down at the other end.  why can't we use that?
well then somebody's just going to have to go out there.  take a portable terminal and go out there and plug in manually.,"oh, right!  right!  with those things running around.  no way."
they cut the power.,"what do you mean, they cut the power?  how could they cut the power, man?  they're animals."
this signal's weird...must be some interference or something. there's movement all over the place...,just get back here!
range twenty meters.,seal the door.
fifteen meters.,"i don't know, an acid hole in a duct.  something under the floors, not on the plans. i don't know!"
"twelve meters.  man, this is a big fucking signal.  ten meters.","they're right on us.  vasquez, how you doing?"
nine meters.  eight.,can't be.  that's inside the room!
can't be.  that's inside the room!,it's readin' right.  look!
"you remember you sent some wildcatters out to that plateau, out past the ilium range, a couple days ago?",yeah.  what?
yeah.  what?,"there's a guy on the horn, mom-and-pop survey team.  says he's homing on something and wants to know if his claim will be honored."
"there's a guy on the horn, mom-and-pop survey team.  says he's homing on something and wants to know if his claim will be honored.","christ.  some honch in a cushy office on earth says go look at a grid reference in the middle of nowhere, we look.  they don't say why, and i don't ask.  i don't ask because it takes two weeks to get an answer out here and the answer's always 'don't ask.'"
"christ.  some honch in a cushy office on earth says go look at a grid reference in the middle of nowhere, we look.  they don't say why, and i don't ask.  i don't ask because it takes two weeks to get an answer out here and the answer's always 'don't ask.'",so what do i tell this guy?
so what do i tell this guy?,"tell him, as far as i'm concerned, he finds something it's his."
and how are we today?,terrible.
terrible.,just terrible?  that's better than yesterday at least.
just terrible?  that's better than yesterday at least.,how long have i been on gateway station?
how long have i been on gateway station?,just a couple of days.  do you feel up to a visitor?
bad dreams again?  do you want something to help you sleep?,no.. i've slept enough.
what did you say?,newt.  my n-name's newt. nobody calls me rebecca except my dork brother.
casey.  she's my only friend.,what about me?
i don't want you for a friend.,why not?
why not?,"because you'll be gone soon, like the others.  like everybody.  you'll be dead and you'll leave me alone."
"they'd be here if they could, honey.  i know they would.",they're dead.
they're dead.,newt.  look at me...newt.  i won't leave you.  i promise.
newt.  look at me...newt.  i won't leave you.  i promise.,you promise?
you promise?,cross my heart.
cross my heart.,and hope to die?
i was the best at the game. i knew the whole maze.,the 'maze'?  you mean the air ducts?
the 'maze'?  you mean the air ducts?,"yeah, you know.  in the walls, under the floor.  i was the ace.  i could hide better than anybody."
"yeah, you know.  in the walls, under the floor.  i was the ace.  i could hide better than anybody.","you're really something, ace."
"i guess we're not leaving, right?","i'm sorry, newt."
"i'm sorry, newt.",you don't have to be sorry.  it wasn't your fault.
now you just lie here and have a nap.  you're exhausted.,i don't want to...i have scary dreams.
ripley...she doesn't have bad dreams because she's just a piece of plastic.,"oh.  sorry, newt."
"oh.  sorry, newt.",my mommy always said there were no monsters.  no real ones.  but there are.
"yes, there are, aren't there.",why do they tell little kids that?
"well, some kids can't handle it like you can.",did one of those things grow inside her?
"i don't know, newt.  that's the truth.",isn't that how babies come? i mean people babies...they grow inside you?
isn't that how babies come? i mean people babies...they grow inside you?,"no, it's different, honey."
